playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0029567,2019,4,678.0,4.0,2.0,0.602,0.0,0.0,0.0,4.0,23.0,0.0
00-0029567,2020,9,1707.0,11.0,8.0,0.612,0.0,0.0,0.0,6.0,12.0,1.0
00-0029567,2021,1,231.0,1.0,0.0,0.6,0.0,0.0,0.0,3.0,9.0,0.0
00-0029567,2022,2,177.0,1.0,4.0,0.5,0.0,0.0,0.0,2.0,8.0,0.0
00-0034192,2020,7,0.0,0.0,0.0,0.0,6.0,63.0,0.0,0.0,0.0,0.0
00-0033319,2018,8,2152.0,15.0,10.0,0.611,0.0,0.0,0.0,8.0,-2.0,0.0
00-0033319,2020,10,2300.0,15.0,12.0,0.608,0.0,0.0,0.0,4.0,13.0,0.0
00-0033319,2021,1,147.0,1.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0
00-0033319,2022,4,224.0,1.0,1.0,0.84,0.0,0.0,0.0,4.0,8.0,0.0
00-0033319,2023,5,1201.0,7.0,8.0,0.629,0.0,0.0,0.0,10.0,25.0,0.0
00-0037317,2023,1,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0
